epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,470.976,2.18577,4.04396,3.20307,2.23418,0.00953,0.10053,0.00871,0.00273,0.00171,0.01608,0.00147,0.00042,2.35464,12.2392,130.219,3.73623,0.000542437,0.000542437,0.000542437
2,845.666,2.26603,3.69102,2.57155,2.25016,0.0004,0.08039,0.00025,6e-05,0,0,0,0,nan,nan,nan,nan,0.00109593,0.00109593,0.00109593
3,1202.5,2.22827,3.49555,2.26593,2.19882,0.06826,0.48861,0.05006,0.015,0.04446,0.23206,0.02475,0.00614,2.41878,7.49645,1029.22,5.54986,0.00164722,0.00164722,0.00164722
4,1587.26,2.13071,3.4597,2.08359,2.18298,0.52414,0.09646,0.00635,0.0014,0.50382,0.01527,0.00079,0.00013,nan,nan,nan,nan,0.0016571,0.0016571,0.0016571
5,1937.88,2.11674,3.37927,1.96318,2.13575,0.02612,0.01367,0.00641,0.00209,0,0,0,0,nan,nan,nan,nan,0.0016538,0.0016538,0.0016538
6,2270.56,2.03533,3.25185,1.8707,2.01407,0.37075,0.35802,0.24912,0.07087,0.35054,0.29805,0.20347,0.04766,2.64687,6.09733,28.2509,3.05454,0.0016505,0.0016505,0.0016505
7,2606.66,2.01913,3.1819,1.86835,2.03119,0.2974,0.435,0.3438,0.12982,0.27065,0.3652,0.26995,0.07746,2.23912,3.93683,7.10763,2.29018,0.0016472,0.0016472,0.0016472
8,2966.6,1.97571,3.23226,1.84294,1.9886,0.39716,0.47343,0.37091,0.14745,0.34099,0.3187,0.26223,0.09691,2.00407,4.17138,6.62168,2.06807,0.0016439,0.0016439,0.0016439
9,3332.46,1.93664,3.19615,1.75341,1.97803,0.45282,0.49781,0.43362,0.18159,0.41941,0.44736,0.38356,0.1336,1.79842,3.24996,13.3568,2.02222,0.00164059,0.00164059,0.00164059
10,3634.64,1.85591,3.13679,1.64933,1.9153,0.4853,0.64661,0.5697,0.23919,0.44198,0.58487,0.4866,0.16716,1.72143,3.11477,14.5371,1.91294,0.00163729,0.00163729,0.00163729
11,3994.55,1.87935,3.07214,1.6155,1.91275,0.41718,0.60503,0.51857,0.21057,0.37556,0.54983,0.4539,0.1601,1.88242,3.26129,6.01736,1.97839,0.00163399,0.00163399,0.00163399
12,4307.05,1.90167,3.05831,1.60667,1.89354,0.48611,0.57038,0.47206,0.20364,0.46456,0.54391,0.44437,0.1617,1.81315,2.90898,11.1929,1.98614,0.00163069,0.00163069,0.00163069
13,4649.88,1.81153,3.03626,1.54241,1.88373,0.49433,0.70465,0.60351,0.2653,0.48137,0.67013,0.55574,0.20141,1.70049,2.90205,8.78845,1.83378,0.00162739,0.00162739,0.00162739
14,5012.14,1.81193,3.01842,1.5406,1.86353,0.58672,0.67125,0.62475,0.28362,0.56598,0.64573,0.5802,0.22318,1.75451,2.75093,6.52555,1.84689,0.00162409,0.00162409,0.00162409
15,5359.76,1.82134,3.01128,1.50932,1.87195,0.60342,0.67663,0.61704,0.29133,0.58131,0.65579,0.57651,0.22208,1.69123,2.77195,9.41935,1.77086,0.00162079,0.00162079,0.00162079
16,5677.31,1.8084,2.95869,1.55369,1.8585,0.3982,0.65416,0.5015,0.20971,0.38388,0.59236,0.44806,0.16197,1.85503,3.10598,9.84925,1.9766,0.00161749,0.00161749,0.00161749
17,6023.63,1.79176,2.92337,1.5236,1.83043,0.63642,0.6427,0.59751,0.29346,0.60916,0.61589,0.5616,0.21568,1.65504,2.77353,16.3473,1.75914,0.00161419,0.00161419,0.00161419
18,6358.34,1.78254,2.88079,1.48341,1.8537,0.27678,0.60708,0.28069,0.12445,0.28149,0.56624,0.28301,0.12135,1.82748,3.14132,57.3104,1.88514,0.00161089,0.00161089,0.00161089
19,6734.75,1.72148,2.87221,1.46653,1.7911,0.30061,0.47321,0.2925,0.14769,0.30131,0.4387,0.29299,0.13386,2.08334,3.37731,49.598,2.16644,0.00160759,0.00160759,0.00160759
20,7099.4,1.73597,2.87854,1.41899,1.81078,0.50514,0.72006,0.58664,0.27484,0.46387,0.66314,0.49807,0.18581,1.79564,2.85008,10.8747,1.95295,0.00160429,0.00160429,0.00160429
21,7462.95,1.77498,2.93785,1.43154,1.86561,0.54277,0.72934,0.6382,0.2937,0.5177,0.70212,0.60401,0.23277,1.68076,2.59601,8.75001,1.82649,0.00160099,0.00160099,0.00160099
22,7813.44,1.74146,2.89313,1.39266,1.77196,0.58748,0.67742,0.61197,0.26071,0.54014,0.62677,0.54198,0.19818,1.74848,2.86,16.374,1.86494,0.00159769,0.00159769,0.00159769
23,8185,1.72117,2.89604,1.37149,1.75804,0.32434,0.50546,0.37056,0.19233,0.32417,0.48876,0.36508,0.16603,1.78201,3.11558,22.9872,1.84776,0.00159439,0.00159439,0.00159439
24,8518.2,1.67383,2.8344,1.36688,1.73587,0.54476,0.56017,0.56032,0.27578,0.52869,0.54886,0.52367,0.21489,1.79336,2.73418,5.02604,1.84628,0.00159108,0.00159108,0.00159108
25,8881.26,1.68886,2.78875,1.38074,1.76444,0.60201,0.74335,0.66818,0.32214,0.58953,0.72187,0.64051,0.25261,1.65769,2.55715,5.93734,1.79133,0.00158778,0.00158778,0.00158778
26,9214.07,1.66937,2.79756,1.36281,1.74121,0.66343,0.74047,0.69089,0.35079,0.65213,0.70288,0.6532,0.26796,1.61472,2.67113,6.58395,1.72042,0.00158448,0.00158448,0.00158448
27,9546.94,1.69162,2.75585,1.34592,1.74354,0.64086,0.77349,0.70098,0.34562,0.65455,0.74341,0.67763,0.28085,1.60792,2.52729,7.27211,1.70462,0.00158118,0.00158118,0.00158118
28,9878.69,1.68403,2.81717,1.36463,1.77048,0.60167,0.77121,0.71024,0.3578,0.5923,0.75282,0.68374,0.28135,1.56701,2.49297,8.80829,1.69703,0.00157788,0.00157788,0.00157788
29,10254.4,1.69705,2.86843,1.35251,1.76902,0.65493,0.75128,0.70481,0.36836,0.64314,0.73114,0.67942,0.27488,1.53038,2.60023,8.1856,1.66924,0.00157458,0.00157458,0.00157458
30,10651.5,1.68378,2.80841,1.29833,1.74385,0.63923,0.76864,0.7048,0.35199,0.62121,0.74538,0.66727,0.27474,1.66218,2.51753,5.5682,1.71422,0.00157128,0.00157128,0.00157128
31,10951.9,1.63877,2.73032,1.29885,1.70221,0.65594,0.74865,0.69193,0.34966,0.63484,0.73069,0.65696,0.26731,1.60876,2.60827,6.36069,1.67537,0.00156798,0.00156798,0.00156798
32,11314.3,1.69832,2.78792,1.31964,1.71667,0.60489,0.76067,0.6721,0.33841,0.58359,0.73303,0.63969,0.26979,1.57452,2.52209,8.35053,1.6775,0.00156468,0.00156468,0.00156468
33,11675.7,1.61265,2.7144,1.2266,1.70197,0.67853,0.79024,0.71553,0.3655,0.66856,0.77588,0.69234,0.27704,1.60297,2.47067,7.4888,1.69621,0.00156138,0.00156138,0.00156138
34,12034.2,1.68874,2.74414,1.26769,1.73313,0.6852,0.8033,0.72251,0.37364,0.68027,0.78349,0.7087,0.29364,1.57515,2.47177,6.79034,1.67813,0.00155808,0.00155808,0.00155808
35,12361.6,1.62544,2.77763,1.35936,1.74859,0.69006,0.80165,0.7364,0.39622,0.68571,0.78402,0.71501,0.31801,1.48679,2.43203,7.43013,1.64734,0.00155478,0.00155478,0.00155478
36,12683.7,1.68427,2.80269,1.34645,1.77387,0.70833,0.77009,0.72035,0.37558,0.68328,0.73311,0.67343,0.26933,1.52225,2.62533,6.98266,1.63248,0.00155148,0.00155148,0.00155148
37,13055.5,1.65655,2.73092,1.2597,1.74486,0.67211,0.75235,0.68932,0.3687,0.6533,0.7306,0.66485,0.28434,1.55545,2.49351,9.18546,1.67106,0.00154818,0.00154818,0.00154818
38,13401.7,1.65206,2.78451,1.2681,1.74687,0.6815,0.81491,0.72091,0.3798,0.67117,0.79981,0.69679,0.30557,1.56728,2.44891,5.78712,1.67067,0.00154488,0.00154488,0.00154488
39,13747.7,1.67385,2.75845,1.34678,1.74946,0.65985,0.61348,0.65006,0.33368,0.61811,0.57865,0.60336,0.25006,1.65723,2.76019,6.64907,1.74468,0.00154157,0.00154157,0.00154157
40,14083.6,1.62962,2.78676,1.27494,1.70731,0.5156,0.2279,0.21391,0.10651,0.45611,0.22956,0.18519,0.08709,2.58371,4.81457,7.41972,2.91028,0.00153827,0.00153827,0.00153827
41,14455.8,1.59524,2.69349,1.22688,1.67363,0.66148,0.74596,0.69812,0.35175,0.6449,0.72506,0.66963,0.28482,1.60571,2.45396,7.332,1.71885,0.00153497,0.00153497,0.00153497
42,14827.9,1.59157,2.69236,1.23609,1.6768,0.70852,0.80336,0.73884,0.3991,0.67896,0.78392,0.70616,0.30645,1.47571,2.40864,6.75865,1.58454,0.00153167,0.00153167,0.00153167
43,15151.5,1.58084,2.67102,1.2301,1.66904,0.65943,0.82147,0.73197,0.39425,0.65281,0.79436,0.71118,0.30805,1.50856,2.41723,6.39753,1.6522,0.00152837,0.00152837,0.00152837
44,15425.9,1.57457,2.59569,1.20123,1.68168,0.69259,0.72966,0.68945,0.35526,0.66239,0.71509,0.65065,0.27221,1.61691,2.55492,7.40244,1.74032,0.00152507,0.00152507,0.00152507
45,15738.2,1.60924,2.66973,1.22539,1.71236,0.68364,0.81592,0.73827,0.40425,0.67886,0.80221,0.71869,0.31748,1.4549,2.34124,6.80245,1.60949,0.00152177,0.00152177,0.00152177
46,16095.1,1.53618,2.58524,1.18292,1.64483,0.58505,0.58024,0.60805,0.33386,0.58277,0.54469,0.58815,0.26263,1.58878,2.58363,6.09111,1.68284,0.00151847,0.00151847,0.00151847
47,16434.6,1.59426,2.62384,1.17654,1.67244,0.71031,0.807,0.75261,0.42917,0.71234,0.79585,0.7362,0.34744,1.43616,2.32316,5.97436,1.56765,0.00151517,0.00151517,0.00151517
48,16772.3,1.56209,2.60621,1.18514,1.66421,0.69021,0.82725,0.74982,0.41135,0.68118,0.8055,0.71496,0.3202,1.48762,2.33452,6.24582,1.59356,0.00151187,0.00151187,0.00151187
49,17117.3,1.50938,2.6053,1.20346,1.65724,0.72071,0.78584,0.74548,0.42196,0.7033,0.77649,0.72079,0.34253,1.47066,2.36014,5.12551,1.6048,0.00150857,0.00150857,0.00150857
50,17428.5,1.56901,2.63813,1.19795,1.65039,0.70347,0.77411,0.7305,0.39301,0.69315,0.7612,0.71516,0.31412,1.4252,2.3217,5.92224,1.54219,0.00150527,0.00150527,0.00150527
51,17797.5,1.53719,2.6485,1.18682,1.63432,0.69793,0.81442,0.75328,0.40898,0.68081,0.77899,0.71585,0.30528,1.52965,2.59446,4.92952,1.62157,0.00150197,0.00150197,0.00150197
52,18162.7,1.57727,2.64312,1.17088,1.63171,0.69854,0.78262,0.73139,0.40114,0.68867,0.75239,0.69922,0.31774,1.46444,2.46966,5.14799,1.58691,0.00149867,0.00149867,0.00149867
53,18513,1.52549,2.60072,1.19761,1.64871,0.68206,0.8316,0.75715,0.42208,0.6747,0.81301,0.74268,0.34056,1.36795,2.31525,6.912,1.52404,0.00149537,0.00149537,0.00149537
54,18841,1.52057,2.64668,1.18612,1.65468,0.70314,0.81086,0.74422,0.41269,0.68975,0.79478,0.71715,0.32945,1.40203,2.30112,5.48343,1.55895,0.00149207,0.00149207,0.00149207
55,19233.3,1.51156,2.56679,1.14302,1.63014,0.68356,0.79432,0.72572,0.41168,0.66844,0.76872,0.68934,0.3039,1.44023,2.4076,5.23295,1.53956,0.00148876,0.00148876,0.00148876
56,19558.9,1.47875,2.56696,1.15844,1.5776,0.67996,0.73161,0.70111,0.37639,0.66256,0.71312,0.67055,0.30045,1.6106,2.49455,5.11212,1.72383,0.00148546,0.00148546,0.00148546
57,19935.3,1.54488,2.63116,1.17062,1.65599,0.69189,0.7848,0.73258,0.39579,0.67195,0.76225,0.6991,0.30698,1.52809,2.378,4.66694,1.63095,0.00148216,0.00148216,0.00148216
58,20251.2,1.51521,2.56049,1.13639,1.63153,0.71923,0.81364,0.77353,0.45293,0.70855,0.79886,0.75337,0.36808,1.35628,2.21618,6.70401,1.51502,0.00147886,0.00147886,0.00147886
59,20602.6,1.51441,2.57642,1.13797,1.62478,0.6907,0.86103,0.771,0.43663,0.67697,0.83479,0.74547,0.35226,1.38701,2.2644,7.47417,1.50932,0.00147556,0.00147556,0.00147556
60,20997.5,1.48816,2.58603,1.18262,1.57821,0.58877,0.68662,0.67663,0.36663,0.564,0.64986,0.62834,0.27606,1.5672,2.56873,5.33506,1.67666,0.00147226,0.00147226,0.00147226
61,21399.7,1.50125,2.6058,1.16669,1.60948,0.73288,0.84263,0.77982,0.44333,0.71821,0.82661,0.75359,0.36701,1.3587,2.25628,7.41472,1.51323,0.00146896,0.00146896,0.00146896
62,21734.8,1.51228,2.57057,1.1332,1.61687,0.6792,0.77979,0.75394,0.41699,0.67662,0.77261,0.74397,0.34232,1.45216,2.32231,5.03648,1.61529,0.00146566,0.00146566,0.00146566
63,22122.2,1.49552,2.58309,1.14636,1.5995,0.72801,0.84053,0.78022,0.45794,0.71426,0.81874,0.75033,0.3629,1.32975,2.26818,7.91157,1.47534,0.00146236,0.00146236,0.00146236
64,22455.1,1.48935,2.58726,1.14358,1.58894,0.71334,0.8664,0.78661,0.4469,0.70068,0.85113,0.76591,0.36655,1.39409,2.23968,6.20532,1.51821,0.00145906,0.00145906,0.00145906
65,22802.9,1.5115,2.49486,1.11121,1.59698,0.73653,0.82264,0.7812,0.44942,0.72956,0.8098,0.76206,0.35796,1.33899,2.22636,6.5302,1.50255,0.00145576,0.00145576,0.00145576
66,23110.8,1.4733,2.56181,1.12913,1.59894,0.74137,0.80872,0.77366,0.44711,0.7363,0.80395,0.75961,0.35624,1.36723,2.24944,6.48361,1.51571,0.00145246,0.00145246,0.00145246
67,23417.6,1.46791,2.52379,1.07852,1.57932,0.71762,0.84648,0.78785,0.45781,0.72588,0.82007,0.76878,0.36667,1.33827,2.24692,5.97582,1.50058,0.00144916,0.00144916,0.00144916
68,23762.2,1.50916,2.51162,1.09991,1.61803,0.71033,0.7574,0.75316,0.41738,0.70763,0.75069,0.75095,0.34558,1.47427,2.36021,4.62864,1.6353,0.00144586,0.00144586,0.00144586
69,24154.2,1.45267,2.50437,1.13612,1.60071,0.70955,0.77785,0.77579,0.45868,0.69698,0.75715,0.75092,0.3561,1.36531,2.41705,4.29398,1.50746,0.00144256,0.00144256,0.00144256
70,24475.1,1.46171,2.50756,1.10819,1.55916,0.7293,0.83217,0.79073,0.46134,0.7107,0.80737,0.7663,0.36793,1.31187,2.17609,6.43449,1.49211,0.00143925,0.00143925,0.00143925
71,24844.8,1.50459,2.52841,1.1279,1.60617,0.72724,0.85067,0.78773,0.45209,0.71221,0.83405,0.7621,0.35868,1.35657,2.18433,6.90651,1.48828,0.00143595,0.00143595,0.00143595
72,25187.7,1.49222,2.49879,1.12663,1.60285,0.71284,0.85228,0.79616,0.45992,0.70842,0.83091,0.77099,0.36282,1.3556,2.2865,5.80465,1.53498,0.00143265,0.00143265,0.00143265
73,25526.5,1.44083,2.49619,1.10233,1.5757,0.72337,0.84323,0.80584,0.48093,0.7124,0.82956,0.78781,0.39667,1.28473,2.12759,7.23677,1.45336,0.00142935,0.00142935,0.00142935
74,25874.1,1.40869,2.49884,1.06027,1.54816,0.71547,0.79974,0.77948,0.46019,0.70004,0.78775,0.7527,0.35939,1.32354,2.24294,8.6837,1.46625,0.00142605,0.00142605,0.00142605
75,26233.1,1.41905,2.43284,1.23283,1.53664,0.69231,0.8413,0.78488,0.45832,0.67888,0.81637,0.76217,0.36068,1.36876,2.18649,6.50164,1.50426,0.00142275,0.00142275,0.00142275
76,26561.8,1.50435,2.56217,1.1151,1.6281,0.67759,0.69294,0.67344,0.35919,0.65022,0.65436,0.62651,0.27825,1.61911,2.52053,4.84368,1.72743,0.00141945,0.00141945,0.00141945
77,26950.1,1.46526,2.53769,1.12266,1.60149,0.66976,0.86236,0.80484,0.4777,0.65558,0.84066,0.77751,0.36367,1.31785,2.31846,5.34973,1.49294,0.00141615,0.00141615,0.00141615
78,27315.5,1.45213,2.44494,1.08404,1.6048,0.7252,0.88025,0.80321,0.47472,0.71802,0.85632,0.78237,0.38973,1.32155,2.16663,6.26126,1.48881,0.00141285,0.00141285,0.00141285
79,27688.6,1.44175,2.49423,1.05919,1.56518,0.75618,0.8757,0.82518,0.49228,0.74881,0.86154,0.80583,0.39429,1.37251,2.20262,6.22688,1.51355,0.00140955,0.00140955,0.00140955
80,28034.8,1.47061,2.45156,1.13522,1.57834,0.76031,0.85165,0.80443,0.46974,0.74215,0.83235,0.77522,0.38269,1.38585,2.21588,5.92567,1.52933,0.00140625,0.00140625,0.00140625
81,28386.9,1.44993,2.41328,1.06799,1.55354,0.74974,0.86232,0.82032,0.48937,0.74402,0.84307,0.80096,0.40127,1.31706,2.20649,5.93735,1.48575,0.00140295,0.00140295,0.00140295
82,28692.3,1.42315,2.42701,1.04167,1.55634,0.67769,0.79211,0.75542,0.42049,0.6538,0.73722,0.70278,0.3273,1.5095,2.58937,4.60372,1.63497,0.00139965,0.00139965,0.00139965
83,29056.3,1.45576,2.41332,1.11192,1.60441,0.71194,0.81978,0.80835,0.47322,0.69468,0.79827,0.7848,0.38624,1.3507,2.25747,6.0069,1.51741,0.00139635,0.00139635,0.00139635
84,29381.8,1.41608,2.45977,1.08504,1.53919,0.78433,0.82509,0.82547,0.50402,0.77367,0.81211,0.80891,0.40963,1.26011,2.17809,6.37652,1.42738,0.00139305,0.00139305,0.00139305
85,29764.6,1.41864,2.47464,1.05736,1.5634,0.75626,0.84222,0.80247,0.48201,0.7398,0.84136,0.79085,0.39145,1.29572,2.20121,6.9494,1.46146,0.00138974,0.00138974,0.00138974
86,30134.4,1.38456,2.43396,1.04524,1.52467,0.72752,0.82117,0.81306,0.48854,0.72027,0.81502,0.80282,0.41091,1.30765,2.13199,7.53061,1.48639,0.00138644,0.00138644,0.00138644
87,30569.2,1.43911,2.47715,1.08196,1.55747,0.7717,0.81638,0.82184,0.49275,0.74919,0.80348,0.79787,0.4004,1.31791,2.18474,6.17064,1.46332,0.00138314,0.00138314,0.00138314
88,30978.8,1.40401,2.45402,1.04471,1.52854,0.74272,0.82406,0.81876,0.49353,0.73549,0.80588,0.79583,0.39431,1.30347,2.18708,5.32467,1.4478,0.00137984,0.00137984,0.00137984
89,31352.6,1.44822,2.42835,1.00838,1.54896,0.76733,0.83657,0.83086,0.51835,0.76025,0.82581,0.8163,0.42127,1.27074,2.12546,6.64097,1.45057,0.00137654,0.00137654,0.00137654
90,31751.3,1.41245,2.44001,1.04936,1.55502,0.75487,0.87093,0.84419,0.53249,0.74405,0.86133,0.8285,0.43548,1.22492,2.06552,6.77868,1.41331,0.00137324,0.00137324,0.00137324
91,32095.7,1.44014,2.42117,1.03309,1.55275,0.77351,0.83604,0.8346,0.50992,0.76469,0.8264,0.82226,0.41778,1.2425,2.13388,6.47838,1.41572,0.00136994,0.00136994,0.00136994
92,32483.7,1.41004,2.40059,1.02848,1.5405,0.75291,0.84924,0.80135,0.46284,0.74134,0.83433,0.77947,0.37966,1.4106,2.21535,5.68758,1.55572,0.00136664,0.00136664,0.00136664
93,32794,1.40265,2.45172,1.04911,1.56057,0.71527,0.84019,0.8153,0.4856,0.70574,0.82733,0.80401,0.40523,1.29425,2.09803,6.4907,1.46853,0.00136334,0.00136334,0.00136334
94,33152.4,1.39431,2.37345,1.01003,1.52179,0.76562,0.86465,0.84364,0.52555,0.75594,0.85012,0.83436,0.42803,1.245,2.09634,5.86042,1.41442,0.00136004,0.00136004,0.00136004
95,33472.5,1.39163,2.36591,1.00544,1.52108,0.56186,0.50603,0.5292,0.26343,0.52783,0.43594,0.45252,0.20333,1.86673,3.37911,2.95184,1.99659,0.00135674,0.00135674,0.00135674
96,33814.3,1.37182,2.42176,1.02402,1.51416,0.75212,0.85018,0.82238,0.50819,0.74953,0.83973,0.80571,0.41342,1.27914,2.10027,6.05547,1.43253,0.00135344,0.00135344,0.00135344
97,34122.6,1.40547,2.41227,1.03839,1.5423,0.77224,0.85742,0.8275,0.51906,0.75897,0.84295,0.8066,0.40778,1.22511,2.15405,5.95453,1.41108,0.00135014,0.00135014,0.00135014
98,34487.5,1.38923,2.39511,1.02184,1.53697,0.77882,0.86872,0.84364,0.54301,0.7766,0.8647,0.83512,0.44943,1.18212,2.08168,5.54582,1.3771,0.00134684,0.00134684,0.00134684
99,34847.1,1.38951,2.38548,0.99491,1.50758,0.71285,0.78933,0.78864,0.47402,0.69688,0.77004,0.76774,0.37258,1.36126,2.35334,4.36599,1.49262,0.00134354,0.00134354,0.00134354
100,35212.9,1.39207,2.38849,1.0121,1.52037,0.74774,0.88662,0.83874,0.52515,0.7413,0.87715,0.82631,0.43522,1.23569,2.11987,5.81697,1.41334,0.00134023,0.00134023,0.00134023
101,35573.6,1.38046,2.41555,0.97739,1.51179,0.59593,0.34208,0.42874,0.21418,0.46704,0.25954,0.3186,0.14548,2.06782,3.92947,3.20025,2.15137,0.00133693,0.00133693,0.00133693
102,35922.2,1.32681,2.33408,1.00826,1.48348,0.70882,0.81387,0.78437,0.4765,0.6974,0.79733,0.76404,0.38743,1.29959,2.18882,5.86634,1.47371,0.00133363,0.00133363,0.00133363
103,36308.6,1.33284,2.34426,0.96755,1.4734,0.42994,0.19992,0.26696,0.14509,0.33096,0.19144,0.23064,0.11233,2.23445,3.6712,3.93179,2.36687,0.00133033,0.00133033,0.00133033
104,36661.9,1.3348,2.37864,0.97179,1.47621,0.59597,0.2889,0.39706,0.20728,0.5469,0.25973,0.33823,0.14808,1.84475,3.50222,3.04329,1.995,0.00132703,0.00132703,0.00132703
105,37027,1.33814,2.38155,0.97291,1.46408,0.71743,0.82647,0.81083,0.49995,0.70729,0.80959,0.79381,0.39594,1.29585,2.24282,4.41301,1.44219,0.00132373,0.00132373,0.00132373
106,37382.9,1.39204,2.40236,1.0043,1.51565,0.7538,0.89761,0.86553,0.55885,0.75012,0.88945,0.85236,0.46947,1.15962,2.01324,6.14787,1.35536,0.00132043,0.00132043,0.00132043
107,37749.6,1.35762,2.39111,1.00487,1.49874,0.78683,0.88436,0.86663,0.5511,0.77685,0.86766,0.85564,0.45181,1.19143,2.06269,7.39016,1.37344,0.00131713,0.00131713,0.00131713
108,38071.4,1.3624,2.43187,1.01763,1.52482,0.79612,0.88817,0.8508,0.53758,0.7902,0.88174,0.83886,0.44138,1.1943,2.00836,7.38894,1.384,0.00131383,0.00131383,0.00131383
109,38421.4,1.3618,2.34212,0.98763,1.492,0.7841,0.88475,0.8459,0.55265,0.77774,0.87751,0.83423,0.45502,1.17728,1.97032,6.74783,1.36032,0.00131053,0.00131053,0.00131053
110,38750.8,1.37648,2.34869,0.98302,1.51089,0.75844,0.88086,0.84573,0.5277,0.75267,0.86535,0.82876,0.43376,1.20601,2.06446,6.16882,1.37007,0.00130723,0.00130723,0.00130723
111,39125.7,1.3452,2.31008,0.97419,1.48849,0.79834,0.88425,0.87536,0.57128,0.79181,0.87853,0.86619,0.47599,1.17384,1.9927,6.15968,1.34836,0.00130393,0.00130393,0.00130393
112,39460.5,1.34877,2.33015,0.9704,1.48098,0.78427,0.89219,0.86137,0.55555,0.77106,0.88255,0.8478,0.45476,1.17304,1.99489,6.74986,1.34545,0.00130063,0.00130063,0.00130063
113,39801.8,1.32588,2.32688,0.95421,1.47871,0.54119,0.3727,0.40755,0.20965,0.51782,0.33567,0.36395,0.16007,1.69518,3.01281,2.8658,1.87625,0.00129733,0.00129733,0.00129733
114,40136.4,1.34811,2.31547,0.96411,1.47844,0.79792,0.89599,0.87342,0.57185,0.7906,0.89684,0.86769,0.48871,1.17848,1.98262,6.63548,1.36125,0.00129403,0.00129403,0.00129403
115,40475.7,1.3464,2.37279,0.98185,1.47526,0.7871,0.90077,0.87027,0.57062,0.78385,0.89155,0.86833,0.47423,1.1218,1.94944,6.19958,1.32321,0.00129072,0.00129072,0.00129072
116,40820.9,1.30956,2.27626,0.93312,1.44292,0.30967,0.10892,0.12121,0.0675,0.21903,0.10281,0.10509,0.05538,2.50881,6.22192,5.15781,2.86832,0.00128742,0.00128742,0.00128742
117,41143.8,1.33699,2.30946,0.9783,1.47519,0.74636,0.79482,0.80578,0.51568,0.74504,0.78573,0.79071,0.41438,1.2024,2.20937,3.19592,1.39111,0.00128412,0.00128412,0.00128412
118,41470,1.33579,2.40366,0.95038,1.48904,0.76236,0.91374,0.87272,0.57635,0.75474,0.90585,0.86534,0.47789,1.15877,1.9538,5.93016,1.33856,0.00128082,0.00128082,0.00128082
119,41784.2,1.31219,2.32082,0.96543,1.44752,0.7976,0.8859,0.87656,0.56598,0.79324,0.87676,0.86523,0.46855,1.20366,2.01965,5.90536,1.369,0.00127752,0.00127752,0.00127752
120,42156.8,1.31312,2.29991,0.94037,1.46662,0.72642,0.75132,0.7543,0.43771,0.71353,0.72996,0.727,0.3603,1.42952,2.3009,3.89978,1.56657,0.00127422,0.00127422,0.00127422
121,42499.5,1.29498,2.26463,0.95905,1.4559,0.77781,0.86825,0.86099,0.56433,0.77375,0.85525,0.84901,0.47239,1.16248,1.97218,6.27682,1.33653,0.00127092,0.00127092,0.00127092
122,42886.6,1.28942,2.25531,0.92354,1.44848,0.7638,0.88546,0.86049,0.56723,0.7615,0.88099,0.85172,0.47026,1.16967,2.01882,6.13367,1.37401,0.00126762,0.00126762,0.00126762
123,43215.7,1.28523,2.25378,0.93457,1.44471,0.70265,0.24449,0.45252,0.25912,0.32821,0.50041,0.41481,0.20976,1.75444,3.33165,3.91705,1.93065,0.00126432,0.00126432,0.00126432
124,43601,1.2929,2.27627,0.94515,1.42929,0.76906,0.80052,0.82019,0.53579,0.77135,0.79896,0.81285,0.43578,1.22036,2.20277,4.03939,1.40191,0.00126102,0.00126102,0.00126102
125,43993.6,1.29081,2.25618,0.96457,1.43928,0.79562,0.89654,0.87966,0.58222,0.78913,0.88833,0.86561,0.4749,1.15735,2.00296,5.43457,1.35384,0.00125772,0.00125772,0.00125772
