epoch,miou
1,0.00273
2,0.00672
3,0.015
4,0.0014
5,0.00209
6,0.07087
7,0.12982
8,0.14745
9,0.18159
10,0.23919
11,0.21057
12,0.20364
13,0.2653
14,0.28362
15,0.29133
16,0.20971
17,0.29346
18,0.12445
19,0.14769
20,0.27484
21,0.2937
22,0.26071
23,0.19233
24,0.27578
25,0.32214
26,0.35079
27,0.34562
28,0.3578
29,0.36836
30,0.35199
31,0.34966
32,0.33841
33,0.3655
34,0.37364
35,0.39622
36,0.37558
37,0.3687
38,0.3798
39,0.33368
40,0.10651
41,0.35175
42,0.3991
43,0.39425
44,0.35526
45,0.40425
46,0.33386
47,0.42917
48,0.41135
49,0.42196
50,0.39301
51,0.40898
52,0.40114
53,0.42208
54,0.41269
55,0.41168
56,0.37639
57,0.39579
58,0.45293
59,0.43663
60,0.36663
61,0.44333
62,0.41699
63,0.45794
64,0.4469
65,0.44942
66,0.44711
67,0.45781
68,0.41738
69,0.45868
70,0.46134
71,0.45209
72,0.45992
73,0.48093
74,0.46019
75,0.45832
76,0.35919
77,0.4777
78,0.47472
79,0.49228
80,0.46974
81,0.48937
82,0.42049
83,0.47322
84,0.50402
85,0.48201
86,0.48854
87,0.49275
88,0.49353
89,0.51835
90,0.53249
91,0.50992
92,0.46284
93,0.4856
94,0.52555
95,0.26343
96,0.50819
97,0.51906
98,0.54301
99,0.47402
100,0.52515
101,0.21418
102,0.4765
103,0.14509
104,0.20728
105,0.49995
106,0.55885
107,0.5511
108,0.53758
109,0.55265
110,0.5277
111,0.57128
112,0.55555
113,0.20965
114,0.57185
115,0.57062
116,0.0675
117,0.51568
118,0.57635
119,0.56598
120,0.43771
121,0.56433
122,0.56723
123,0.25912
124,0.53579
125,0.58222
126,0.57407
127,0.59439
128,0.59792
129,0.60508
130,0.60043
131,0.5933
132,0.61374
133,0.59619
134,0.57854
135,0.60139
136,0.6244
137,0.54212
138,0.61465
139,0.5928
140,0.61506
141,0.60379
142,0.61679
143,0.61601
144,0.61017
145,0.63332
146,0.6284
147,0.6103
148,0.62948
149,0.64879
150,0.64862
151,0.6424
152,0.57628
153,0.60271
154,0.63298
155,0.64663
156,0.6509
157,0.59497
158,0.66476
159,0.65536
160,0.66223
161,0.64687
162,0.63563
163,0.64912
164,0.66406
165,0.65669
166,0.62388
167,0.66716
168,0.664
169,0.63957
170,0.67517
171,0.69338
172,0.50489
173,0.67518
174,0.64305
175,0.67709
176,0.65064
177,0.69177
178,0.70358
179,0.67948
180,0.70283
181,0.66672
182,0.71367
183,0.70361
184,0.68838
185,0.69548
186,0.71846
187,0.70668
188,0.70844
189,0.7253
190,0.71145
191,0.66958
192,0.68954
193,0.71281
194,0.68999
195,0.72133
196,0.73927
197,0.70945
198,0.73253
199,0.65998
200,0.6819
201,0.7352
202,0.74494
203,0.74096
204,0.74621
205,0.69664
206,0.73174
207,0.69355
208,0.65832
209,0.74946
210,0.74254
211,0.73155
212,0.72
213,0.68228
214,0.75671
215,0.69944
216,0.75497
217,0.7526
218,0.76556
219,0.7555
220,0.75701
221,0.76824
222,0.76244
223,0.77337
224,0.76605
225,0.77139
226,0.7256
227,0.77024
228,0.70594
229,0.74621
230,0.77791
231,0.7723
232,0.78652
233,0.68538
234,0.79517
235,0.7878
236,0.78476
237,0.79155
238,0.70314
239,0.78726
240,0.75455
241,0.79009
242,0.80077
243,0.79739
244,0.77776
245,0.79298
246,0.79536
247,0.80003
248,0.79791
249,0.78768
250,0.79729
251,0.80917
252,0.81662
253,0.81388
254,0.79328
255,0.78716
256,0.8061
257,0.80795
258,0.81475
259,0.82012
260,0.81556
261,0.81295
262,0.81969
263,0.81018
264,0.75806
265,0.8192
266,0.83561
267,0.82363
268,0.8186
269,0.71447
270,0.69514
271,0.82339
272,0.82759
273,0.80439
274,0.83019
275,0.82549
276,0.80371
277,0.83543
278,0.8352
279,0.83411
280,0.82828
281,0.83168
282,0.83854
283,0.83524
284,0.84014
285,0.82119
286,0.83943
287,0.83835
288,0.83818
289,0.83543
290,0.8404
291,0.84032
292,0.82179
293,0.81892
294,0.8327
295,0.81875
296,0.8401
297,0.84498
298,0.84205
299,0.84865
300,0.8415
301,0.8461
302,0.84399
303,0.85653
304,0.84942
305,0.8456
306,0.85137
307,0.85376
308,0.84804
309,0.84513
310,0.85683
311,0.86097
312,0.85737
313,0.85689
314,0.85261
315,0.85567
316,0.85323
317,0.85653
318,0.85701
319,0.85709
320,0.86455
321,0.86697
322,0.8728
323,0.85738
324,0.85843
325,0.86158
326,0.86015
327,0.86576
328,0.85256
329,0.86926
330,0.86324
331,0.85345
332,0.86719
333,0.85577
334,0.85921
